,PC,RA,SA1,FiringRate_value,Spikes_n_items,Spikes_diff_mean,depth,Pin_Radius,Spikes_diff_time_inrange,Frequency
10340,0,1,0,16.77,24,0.05704347826086956,1.9800000000000015,1.4550000000000012,0.5984,45
10341,1,0,0,253.4,367,0.0039513661202185794,0.7600000000000005,0.6750000000000003,0.0442,85
10342,1,0,0,144.1,150,0.006746308724832214,1.300000000000001,0.7350000000000003,0.07900000000000001,75
10343,1,0,0,84.0,138,0.011826277372262772,2.790000000000002,0.33,0.1262,85
10344,0,1,0,68.7,95,0.014474468085106383,0.4400000000000001,0.4150000000000001,0.1408,35
10345,1,0,0,128.1,222,0.007721266968325791,0.9100000000000006,0.6100000000000003,0.0834,65
10346,1,0,0,70.44,112,0.014207207207207207,0.37000000000000005,0.4500000000000001,0.1354,35
10347,0,1,0,87.44,108,0.011181308411214954,0.6200000000000003,1.1800000000000008,0.1126,45
10348,0,1,0,51.97,71,0.018205714285714287,1.260000000000001,0.9150000000000005,0.18259999999999998,55
10349,1,0,0,187.9,297,0.005276351351351352,1.0200000000000007,1.0550000000000006,0.056799999999999996,95
10350,0,1,0,31.48,41,0.030025000000000003,1.7200000000000013,1.1800000000000008,0.30679999999999996,85
10351,0,1,0,49.84,70,0.019675362318840577,0.48000000000000015,1.2200000000000009,0.1964,25
10352,1,0,0,48.88,76,0.020165333333333334,2.2200000000000015,0.7750000000000004,0.20620000000000002,75
10353,0,1,0,4.027,6,0.21292,2.1600000000000015,0.7600000000000005,-1.0,95
10354,0,1,0,17.83,27,0.052300000000000006,1.7600000000000013,0.9850000000000005,0.48319999999999996,75
10355,0,1,0,150.9,284,0.006587279151943464,0.4200000000000001,0.5900000000000003,0.07500000000000001,95
10356,1,0,0,215.4,302,0.0046,0.35000000000000003,1.1600000000000008,0.055400000000000005,55
10357,0,1,0,147.9,167,0.006687951807228916,0.31,0.6750000000000003,0.07880000000000001,35
10358,0,1,0,126.94,183,0.007776923076923077,0.5800000000000003,0.47500000000000014,0.0906,65
10359,0,1,0,24.33,29,0.039349999999999996,1.1700000000000008,0.6550000000000002,0.39999999999999997,45
10360,0,1,0,11.11,18,0.08677647058823529,2.4200000000000017,1.4550000000000012,1.043,95
10361,0,1,0,0.55,1,-1.0,1.9900000000000015,0.5350000000000001,-1.0,75
10362,1,0,0,95.25,108,0.010502803738317757,0.9900000000000007,0.31,0.1032,95
10363,0,1,0,70.94,72,0.01352394366197183,1.1700000000000008,0.7800000000000005,0.1456,75
10364,1,0,0,328.2,415,0.003045410628019324,0.35000000000000003,0.7050000000000003,0.039799999999999995,85
10365,1,0,0,34.06,42,0.028536585365853656,1.9900000000000015,1.485000000000001,0.28459999999999996,35
10366,1,0,0,54.44,88,0.01817471264367816,2.2100000000000017,1.1550000000000007,0.1808,55
10367,0,1,0,6.61,7,0.1318,1.8200000000000014,1.355000000000001,-1.0,95
10368,1,0,0,49.5,72,0.02008169014084507,1.9800000000000015,0.6700000000000004,0.1994,75
10369,0,1,0,61.84,90,0.015548314606741572,1.270000000000001,0.4500000000000001,0.168,65
10370,1,0,0,168.1,246,0.005917551020408163,0.6200000000000003,0.3950000000000001,0.06100000000000001,85
10371,0,1,0,10.734,14,0.08872307692307692,1.9600000000000015,1.1050000000000006,0.9388000000000001,65
10372,1,0,0,44.38,70,0.022211594202898546,2.270000000000002,0.6200000000000003,0.22139999999999999,45
10373,0,1,0,36.34,72,0.026529577464788734,1.5800000000000012,0.5000000000000002,0.2414,95
10374,0,1,0,102.4,176,0.009630857142857142,0.4000000000000001,0.7500000000000004,0.1084,35
10375,0,1,0,63.8,83,0.01520487804878049,0.8300000000000005,1.0350000000000006,0.1562,85
10376,1,0,0,64.94,99,0.01534081632653061,2.0400000000000014,0.5250000000000001,0.15,65
10377,1,0,0,68.4,133,0.014477272727272728,0.8500000000000005,0.9800000000000006,0.1552,35
10378,1,0,0,135.4,191,0.007388421052631579,0.4300000000000001,1.0650000000000006,0.0716,45
10379,1,0,0,43.88,65,0.022199999999999998,2.900000000000002,0.5000000000000002,0.2214,45
10380,1,0,0,41.06,57,0.024771428571428573,0.33,0.3,0.2506,35
10381,0,1,0,41.3,68,0.023570149253731344,0.9400000000000006,0.8350000000000004,0.2394,85
10382,0,1,0,24.27,44,0.03992093023255814,0.8600000000000005,0.33,0.3968,25
10383,1,0,0,45.28,60,0.02215593220338983,1.2400000000000009,1.370000000000001,0.2194,45
10384,0,1,0,20.03,26,0.047968000000000004,0.9500000000000006,0.5450000000000002,0.477,25
10385,1,0,0,145.2,153,0.00674736842105263,1.1200000000000008,0.9400000000000006,0.079,75
10386,1,0,0,146.8,221,0.006777272727272726,1.390000000000001,0.7150000000000003,0.0782,75
10387,0,1,0,24.52,46,0.039897777777777775,0.9000000000000006,1.0600000000000007,0.3968,25
10388,1,0,0,185.2,262,0.005320306513409961,1.5400000000000011,1.445000000000001,0.06740000000000002,95
10389,1,0,0,185.9,217,0.00532037037037037,0.7100000000000004,1.4150000000000011,0.062200000000000005,95
10390,0,1,0,19.88,39,0.048605263157894735,1.7100000000000013,0.8800000000000006,0.49360000000000004,65
10391,1,0,0,6.83,10,0.14666666666666664,1.5600000000000012,0.8450000000000004,-1.0,25
10392,1,0,0,74.5,148,0.01331156462585034,0.49000000000000016,0.9650000000000005,0.13920000000000002,25
10393,1,0,0,29.56,40,0.03216923076923077,2.660000000000002,1.320000000000001,0.3184,95
10394,1,0,0,85.4,90,0.0117438202247191,2.0100000000000016,0.4400000000000001,0.1156,85
10395,0,1,0,148.9,252,0.006683665338645418,0.48000000000000015,0.5900000000000003,0.0754,75
10396,0,1,0,25.64,39,0.03783157894736842,0.7200000000000004,0.33,0.35679999999999995,25
10397,1,0,0,126.94,162,0.00773167701863354,0.9900000000000007,1.465000000000001,0.08320000000000001,65
10398,0,1,0,4.07,7,0.13636666666666666,1.420000000000001,0.4350000000000001,-1.0,55
10399,1,0,0,95.3,181,0.010512222222222221,1.0300000000000007,0.325,0.1032,95
10400,1,0,0,219.8,429,0.004551401869158879,0.3,1.0900000000000007,0.0508,55
10401,1,0,0,44.28,82,0.02220740740740741,2.4400000000000017,0.38000000000000006,0.22139999999999999,45
10402,1,0,0,163.8,294,0.006001365187713311,1.8400000000000014,1.470000000000001,0.0818,85
10403,0,1,0,141.5,216,0.00699906976744186,0.6000000000000003,1.2750000000000008,0.08280000000000001,75
10404,0,1,0,81.5,100,0.011775757575757573,0.6400000000000003,0.4000000000000001,0.11900000000000001,85
10405,0,1,0,6.887,7,0.14266666666666666,1.9800000000000015,0.8750000000000004,-1.0,55
10406,1,0,0,32.38,42,0.029346341463414635,2.1600000000000015,0.4550000000000001,0.294,85
10407,1,0,0,74.8,79,0.013287179487179487,2.290000000000002,1.470000000000001,0.13,75
10408,1,0,0,25.52,37,0.039655555555555555,1.7400000000000013,1.0850000000000006,0.38959999999999995,25
10409,1,0,0,5.1,9,0.20549999999999996,1.7600000000000013,0.8000000000000005,-1.0,45
10410,0,1,0,41.25,53,0.023546153846153845,1.7100000000000013,0.7250000000000003,0.2358,85
10411,1,0,0,1.752,2,1.069,0.32,1.490000000000001,-1.0,5
10412,1,0,0,279.2,531,0.0035784905660377355,0.5400000000000003,0.6000000000000003,0.0498,95
10413,1,0,0,45.5,68,0.022128358208955225,0.5400000000000003,0.3950000000000001,0.2172,45
10414,0,1,0,29.61,52,0.03260392156862745,1.0400000000000007,1.470000000000001,0.32599999999999996,95
10415,0,1,0,22.88,30,0.04229655172413794,1.360000000000001,0.35000000000000003,0.417,55
10416,0,0,1,2.975,4,0.21119999999999997,0.37000000000000005,1.470000000000001,-1.0,85
10417,1,0,0,15.375,16,0.06601333333333334,0.8200000000000005,1.2250000000000008,0.6606,15
10418,0,1,0,92.1,148,0.010672108843537415,1.1800000000000008,1.0200000000000007,0.1168,95
10419,1,0,0,0.808,1,-1.0,1.1500000000000008,1.410000000000001,-1.0,25
10420,0,1,0,28.94,34,0.03267878787878788,2.0300000000000016,0.6650000000000003,0.3308,75
10421,0,1,0,25.03,43,0.039195238095238095,0.34,1.1550000000000007,0.3784,5
10422,1,0,0,45.84,74,0.022095890410958902,0.7800000000000005,1.4550000000000012,0.217,45
10423,0,1,0,64.9,129,0.015159375000000001,0.8300000000000005,0.5050000000000001,0.1532,85
10424,0,1,0,43.72,64,0.022228571428571427,0.6700000000000004,0.7250000000000003,0.2208,45
10425,0,1,0,24.83,30,0.037096551724137936,1.1700000000000008,1.480000000000001,0.36839999999999995,65
10426,1,0,0,95.4,179,0.010511235955056179,1.350000000000001,0.8150000000000004,0.10320000000000001,95
10427,0,1,0,1.357,2,0.12520000000000003,1.8700000000000014,0.49500000000000016,-1.0,25
10428,1,0,0,82.06,100,0.011795959595959596,1.2000000000000008,1.0100000000000007,0.11780000000000002,85
10429,0,1,0,21.1,42,0.04565853658536586,1.490000000000001,0.9900000000000007,0.4712,85
10430,0,1,0,26.34,51,0.036416000000000004,1.2300000000000009,1.385000000000001,0.3676,95
10431,0,1,0,27.11,44,0.035544186046511626,1.1100000000000008,0.39000000000000007,0.35239999999999994,85
10432,0,1,0,31.88,57,0.030760714285714284,0.9600000000000006,0.8900000000000006,0.3066,65
10433,0,1,0,4.18,7,0.20623333333333335,1.430000000000001,1.4150000000000011,-1.0,25
10434,1,0,0,187.8,363,0.005316022099447514,1.430000000000001,0.9800000000000006,0.0618,95
10435,0,1,0,27.72,40,0.03465128205128205,2.2100000000000017,0.4450000000000001,0.32919999999999994,85
10436,1,0,0,5.76,11,0.19044,0.7200000000000004,1.0750000000000006,1.9043999999999999,5
10437,0,1,0,23.81,39,0.04002105263157894,1.1200000000000008,0.5500000000000003,0.40159999999999996,25
10438,0,1,0,83.2,152,0.011766887417218545,0.5000000000000002,0.8750000000000004,0.11779999999999999,85
10439,0,1,0,22.66,25,0.042091666666666666,1.1600000000000008,1.2200000000000009,0.41059999999999997,95
10440,1,0,0,253.6,468,0.003931477516059957,0.6200000000000003,0.9700000000000006,0.0446,85
10441,0,1,0,20.31,40,0.047158974358974357,1.0000000000000007,1.2200000000000009,0.422,25
10442,1,0,0,73.9,83,0.013446341463414634,2.730000000000002,0.8250000000000004,0.14300000000000002,75
10443,1,0,0,65.9,79,0.015325641025641027,0.7500000000000004,1.2950000000000008,0.1506,65
10444,0,1,0,23.14,43,0.04173333333333334,1.450000000000001,0.8600000000000005,0.4304,65
10445,0,1,0,4.68,6,0.20084,1.480000000000001,0.5250000000000001,-1.0,25
10446,1,0,0,97.56,119,0.010194915254237288,0.39000000000000007,0.4450000000000001,0.11680000000000001,25
10447,0,1,0,45.38,57,0.021067857142857145,1.6500000000000012,0.8700000000000006,0.21080000000000002,95
10448,0,1,0,37.34,49,0.025770833333333337,1.430000000000001,1.0050000000000006,0.253,55
10449,0,1,0,14.91,18,0.06170588235294117,0.5300000000000002,0.35500000000000004,0.6214,5
10450,0,1,0,34.66,44,0.027530232558139533,1.0300000000000007,0.9750000000000005,0.2714,85
10451,1,0,0,126.06,236,0.007847659574468086,1.350000000000001,0.8900000000000006,0.09860000000000001,65
10452,1,0,0,65.0,119,0.01534915254237288,1.6800000000000013,0.9000000000000006,0.1502,65
10453,0,1,0,43.7,56,0.022283636363636363,1.0700000000000007,1.315000000000001,0.22219999999999998,45
10454,1,0,0,24.05,46,0.03998666666666667,1.9100000000000015,1.340000000000001,0.3998,25
10455,0,1,0,0.702,1,-1.0,1.9400000000000015,0.8100000000000005,-1.0,85
10456,1,0,0,16.08,17,0.06520000000000001,0.6200000000000003,0.5350000000000001,0.65,15
10457,0,1,0,83.56,157,0.011778205128205127,1.0200000000000007,0.9900000000000007,0.11780000000000002,85
10458,0,1,0,30.11,47,0.03237391304347826,1.0900000000000007,0.7750000000000004,0.34319999999999995,55
10459,0,1,0,22.34,25,0.04214166666666667,1.410000000000001,1.320000000000001,0.4468,85
10460,0,1,0,34.66,39,0.028515789473684206,1.0400000000000007,0.35000000000000003,0.27999999999999997,35
10461,1,0,0,184.8,255,0.005318897637795275,1.7100000000000013,0.9200000000000006,0.067,95
10462,0,1,0,38.75,77,0.025423684210526314,1.5200000000000011,1.2850000000000008,0.26539999999999997,75
10463,1,0,0,143.0,260,0.006991505791505792,1.5800000000000012,0.9800000000000006,0.1,75
10464,0,1,0,4.145,8,0.14885714285714288,1.320000000000001,0.37500000000000006,-1.0,95
10465,0,1,0,26.97,42,0.03624390243902439,1.340000000000001,1.1650000000000007,0.367,65
10466,1,0,0,86.06,89,0.011722727272727274,0.5200000000000002,1.2450000000000008,0.11560000000000001,85
10467,1,0,0,130.6,215,0.007669158878504673,0.5500000000000003,1.460000000000001,0.0728,65
10468,0,1,0,18.23,22,0.04839047619047619,1.1700000000000008,1.2550000000000008,0.4874,35
10469,0,1,0,97.75,184,0.010063387978142078,0.39000000000000007,0.9600000000000006,0.1158,25
10470,1,0,0,5.78,7,0.16653333333333334,1.460000000000001,1.2850000000000008,-1.0,15
10471,0,1,0,4.566,5,0.17774999999999996,1.6100000000000012,1.0250000000000006,-1.0,35
10472,1,0,0,54.06,89,0.01817045454545455,2.830000000000002,1.0650000000000006,0.1814,55
10473,1,0,0,46.0,66,0.021206153846153843,1.8200000000000014,1.3450000000000009,0.22,95
10474,0,1,0,9.055,10,0.10546666666666667,1.310000000000001,1.270000000000001,-1.0,45
10475,0,1,0,4.48,8,0.18837142857142858,1.440000000000001,1.320000000000001,-1.0,25
10476,0,1,0,19.94,39,0.04783684210526316,1.6000000000000012,1.410000000000001,0.4642,95
10477,0,1,0,87.56,115,0.01129298245614035,0.5100000000000002,0.8050000000000004,0.11980000000000002,45
10478,0,1,0,16.69,32,0.05256129032258064,1.9300000000000015,1.2100000000000009,0.5064,65
10479,1,0,0,15.43,17,0.056624999999999995,2.490000000000002,0.6300000000000003,0.5861999999999999,75
10480,1,0,0,24.33,34,0.039957575757575754,1.9500000000000015,0.8750000000000004,0.3998,25
10481,1,0,0,33.16,59,0.029048275862068963,1.6300000000000012,0.7650000000000003,0.28519999999999995,35
10482,0,0,1,4.348,8,0.19031428571428569,0.33,0.5950000000000002,-1.0,75
10483,0,1,0,91.8,133,0.010696969696969696,1.1800000000000008,0.48000000000000015,0.1174,95
10484,1,0,0,16.1,21,0.06515,0.6200000000000003,0.7050000000000003,0.6504,15
10485,1,0,0,23.75,25,0.03990833333333333,1.5700000000000012,0.9800000000000006,0.3992,25
10486,1,0,0,0.624,1,-1.0,1.6700000000000013,0.8150000000000004,-1.0,5
10487,1,0,0,95.5,154,0.010508496732026145,0.9300000000000006,0.6800000000000004,0.1032,95
10488,1,0,0,67.8,119,0.014722033898305084,0.8800000000000006,1.2850000000000008,0.16840000000000002,35
10489,1,0,0,21.47,28,0.044237037037037026,2.1300000000000017,0.7950000000000004,0.415,65
10490,0,1,0,50.16,94,0.019501075268817204,0.7500000000000004,1.0450000000000006,0.201,65
10491,1,0,0,35.9,36,0.028314285714285715,1.440000000000001,1.0300000000000007,0.2784,35
10492,1,0,0,109.0,186,0.009108108108108108,0.7400000000000004,0.7200000000000004,0.09480000000000001,55
10493,1,0,0,24.64,44,0.03995813953488372,1.5900000000000012,0.7650000000000003,0.3994,25
10494,1,0,0,14.83,19,0.06646666666666667,1.9200000000000015,1.1300000000000008,0.6663999999999999,15
10495,0,1,0,30.05,42,0.030878048780487805,1.7300000000000013,1.270000000000001,0.29319999999999996,75
